x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-270.0,-190.0,0.38390872450816405,-0.35130224976665225,-0.20846657194435844,0.47070870863174774
-270.0,-180.0,0.37994095146204243,-0.2962457767933584,-0.18819299079025092,0.4713898579916845
-270.0,-170.0,0.3790220019272912,-0.2453891460047719,-0.168130014083824,0.4715477689101849
-270.0,-160.0,0.38096224239703025,-0.19834321208154937,-0.14826315129452042,0.4712144288625064
-270.0,-150.0,0.3856181206798306,-0.15481539112918297,-0.12858526876817153,0.4704155914250898
-270.0,-140.0,0.39287800045074883,-0.11458377852712665,-0.10909495603084224,0.4691729857617855
-270.0,-130.0,0.40265227617959276,-0.07747952769811906,-0.0897953915410365,0.46750592259135276
-270.0,-120.0,0.4148661839840102,-0.04337440756160005,-0.07069350086931445,0.46543251813215647
-270.0,-110.0,0.42945438791035784,-0.012171722013428532,-0.05179928313834347,0.46297066242511925
-270.0,-100.0,0.446356792131716,0.01620052166574748,-0.03312522831178745,0.4601388043289676
-270.0,-90.0,0.4655152467429362,0.0417948988553416,-0.01468577626204845,0.4569565930978358
-270.0,-80.0,0.4868709467751535,0.06464876285954801,0.003503212789700285,0.4534453963821334
-270.0,-70.0,0.5103624060771872,0.084787647616831,0.021424993408211548,0.4496287019947215
-270.0,-60.0,0.5359239387207175,0.10222807421342095,0.039062482050767414,0.44553240341868894
-270.0,-50.0,0.563484611061301,0.11697988941606896,0.0563988138086045,0.44118496552011194
-270.0,-40.0,0.5929676436288345,0.12904821794948185,0.07341789913532087,0.4366174665385661
-270.0,-30.0,0.6242902474945144,0.13843507828960666,0.09010496505102643,0.43186351463529926
-270.0,-20.0,0.6573638774744026,0.1451406900098684,0.10644706113914182,0.4269590415658624
-270.0,-10.0,0.692094876869894,0.14916448647168523,0.12243350847897434,0.42194198179551756
-270.0,0.0,0.7283854776835081,0.15050583802710116,0.1380562697152204,0.416851851851852
-260.0,-250.0,0.420253812597537,-0.7099890913820075,-0.3310976980099044,0.44452144422124584
-260.0,-240.0,0.39170463779546116,-0.6168146975304502,-0.30901196792572216,0.44937356806856416
-260.0,-230.0,0.36951714031934113,-0.5343941122657836,-0.2874871584116389,0.453184436789704
-260.0,-220.0,0.3523793164339044,-0.46015039778937283,-0.26636747443067393,0.4561505985586605
-260.0,-210.0,0.3394831558407765,-0.392476046618333,-0.24555852341519696,0.45839503878003324
-260.0,-200.0,0.3302973548292538,-0.3302973548292538,-0.22500000000000017,0.46
-260.0,-190.0,0.32445665378894617,-0.27286282472171663,-0.20465254487808304,0.46102314028140085
-260.0,-180.0,0.3217018577422186,-0.21962902274417284,-0.1844907412104163,0.46150640993125025
-260.0,-170.0,0.32184456609448775,-0.17019402837807007,-0.16449909052142708,0.46148136388983607
-260.0,-160.0,0.32474501596255534,-0.12425620502016899,-0.14466955886361926,0.4609725791608497
-260.0,-150.0,0.33029735482925404,-0.08158736573573089,-0.12499999999999992,0.46
-260.0,-140.0,0.3384193478042121,-0.04201456188385011,-0.10549308628133315,0.4585806458485129
-260.0,-130.0,0.3490448512369513,-0.005407259154117661,-0.08615553649770849,0.45672992405883817
-260.0,-120.0,0.36211808395369416,0.02833200304340111,-0.0669975129796473,0.454462686317086
-260.0,-110.0,0.37758911820813124,0.05927463506585595,-0.04803210646781381,0.45179410880207876
-260.0,-100.0,0.39541024216770926,0.08747144104158,-0.029274854901790093,0.4487404404223884
-260.0,-90.0,0.41553298684233897,0.11295696133043309,-0.010743260314716367,0.44531964066029045
-260.0,-80.0,0.43790569992315476,0.13575302776308984,0.007543718840215774,0.44155191348929723
-260.0,-70.0,0.4624716066478065,0.15587173907783725,0.025566211876775782,0.4374601339668242
-260.0,-60.0,0.4891673341211855,0.17331799179108187,0.04330401895959363,0.43307015822144473
-260.0,-50.0,0.5179218963226537,0.18809165169560882,0.06073722660337524,0.42841100511603364
-260.0,-40.0,0.5486561457177563,0.20018941596934803,0.07784684098993452,0.42351489861383607
-260.0,-30.0,0.5812826962605051,0.20960639120395363,0.09461541754071544,0.41841716356239034
-260.0,-20.0,0.6157063136082277,0.21633739595570134,0.11102765996555045,0.413155973843504
-260.0,-10.0,0.651824753690494,0.2203779860501216,0.12707095916793093,0.4077719599679973
-260.0,0.0,0.689530012794977,0.22172519565608195,0.14273584241548845,0.4023076923076923
-250.0,-260.0,0.3810431508831278,-0.7099890913820075,-0.34826871719305086,0.4312005341192271
-250.0,-250.0,0.3498183712510421,-0.6131852193824544,-0.3262045291713171,0.436595470828683
-250.0,-240.0,0.3252117150120628,-0.5276288401174738,-0.3046971259980062,0.44089075904191405
-250.0,-230.0,0.30580638750805167,-0.45053379232330903,-0.2835831693862419,0.44430348416465754
-250.0,-220.0,0.29074044634857277,-0.3801797815361603,-0.2627641020950429,0.44696759015636234
-250.0,-210.0,0.2794528711837039,-0.31542548769944423,-0.24217679812971016,0.44897148957104344
-250.0,-200.0,0.2715619052421072,-0.25547575556787216,-0.22177967433112544,0.4503762605350996
-250.0,-190.0,0.26679990392356623,-0.19975744383306604,-0.20154538762821522,0.4512255054025564
-250.0,-180.0,0.26497538789599373,-0.1478476866582381,-0.181456694855473,0.45155117970405945
-250.0,-170.0,0.26594938955914005,-0.0994297832171469,-0.16150396876971435,0.45137730123659425
-250.0,-160.0,0.2696198241995016,-0.05426467772396726,-0.14168363716283322,0.45072247221578676
-250.0,-150.0,0.27591060537080137,-0.012171722013428532,-0.12199715758996969,0.4496017054460182
-250.0,-140.0,0.28476368441184396,0.02698479343744098,-0.1024503074664219,0.4480278278188036
-250.0,-130.0,0.2961329585794936,0.06330539884118203,-0.08305265555952804,0.4460126191090453
-250.0,-120.0,0.30997941735534207,0.09686275244736553,-0.06381712800946224,0.44356777855545804
-250.0,-110.0,0.3262671461758042,0.1277072909495809,-0.04475960935938534,0.44070577188187043
-250.0,-100.0,0.34495996121636097,0.15587173907783725,-0.02589853632538143,0.43744058546984743
-250.0,-90.0,0.36601854874752204,0.18137481934947375,-0.007254454312048694,0.4337883964476625
-250.0,-80.0,0.389398049334722,0.2042243884942716,0.011150483184826584,0.4297681546191445
-250.0,-70.0,0.41504607201333643,0.22442014931048693,0.029293082594038965,0.42540206312633083
-250.0,-60.0,0.44290115233044336,0.24195603197408033,0.04714974630321865,0.42071593911277255
-250.0,-50.0,0.4728916837096824,0.25682229925524047,0.06469716733285227,0.4157394334665704
-250.0,-40.0,0.5049353554911904,0.2690074012144348,0.08191306339699742,0.41050609014351963
-250.0,-30.0,0.5389391243640786,0.2784995842553111,0.09877692209602466,0.405053230651523
-250.0,-20.0,0.5747997301555552,0.28528824552498033,0.115270721870443,0.3994216577496355
